nu_t_over_M,R_h20_over_nu_M
-1000000.0,0.01081707710470238
-857642.6517175443,0.01123526202870759
-737607.974932388,0.011658724001127108
-636310.721990987,0.012090101040283742
-550326.6355535134,0.012529393483433718
-477141.707268582,0.01297528164690317
-414656.8005557227,0.013430404223527367
-361181.4609230234,0.013892122857727274
-315279.11058665393,0.014361756558664288
-275798.0127130378,0.014839305326338412
-241747.4223653552,0.015323450488844488
-212309.97853256692,0.015816829727249074
-186847.89064569457,0.01631548567681173
-164729.5578181158,0.01682337603952913
-145465.80359593302,0.01733918180623988
-128666.52285285352,0.0178615832932701
-113966.37710720499,0.018394538539872708
-101086.72142324585,0.01893540885321242
-89779.8687752512,0.019484194233289245
-79816.71226584038,0.020044852719356097
-71036.25524913962,0.020613426272160052
-63277.50107927644,0.021193872256441548
-56385.64595881244,0.02178751035587447
-50267.80982553982,0.022394340570458814
-44806.34122351091,0.023015681909355976
-39926.93230366579,0.02365681108372403
-35549.08870066516,0.024317728430819217
-31598.50098241039,0.025006348680122404
-28038.01997348771,0.02572135282247219
-24805.72193866747,0.02647329461744097
-21870.645801854203,0.0272687697853482
-19189.447956161457,0.028115693392931008
-16737.36017392797,0.029024619537017998
-14508.189606719068,0.030003462947090057
-12470.973595400923,0.03107201179587431
-10600.947078390047,0.03225401128358208
-8898.108472647611,0.033566611227361466
-7356.2649297395255,0.03504411058699617
-5969.225184269366,0.03673004307268091
-4730.796387802577,0.03868113383524931
-3640.9801233786857,0.040968619824360314
-2687.3891110887052,0.043728377532731136
-1876.2193654455477,0.04715564864577285
-1219.8518342016032,0.05150108031605631
-699.7127211696934,0.05735831030575819
-315.7988602720434,0.06590670008426347
-86.69037985149771,0.07930841155851336
1.1641532182693481e-10,0.10241412874318595
