nu_t_over_M,FastEMRIWaveforms_Re_h2_minus2_over_nu_M,FastEMRIWaveforms_Im_h2_minus2_over_nu_M,minus_two_phi_phi,FastEMRIWaveforms_R_h20_over_nu_M
-1970590.6797286065,0.062163665517395564,0.0014087757786658732,-0.0,0.00919049669741969
-1970590.6209307816,0.04403293541289055,-0.043902239297702234,-11.759800239502432,0.009190496764909144
-1970590.268143832,0.04912699244696756,0.03811620350449467,-82.31860443830995,0.00919049716984588
-1970588.1514221346,-0.06185501220295169,0.0063455387609542046,-505.67152905575045,0.009190499599466292
-1970575.4510919508,0.002563376089779187,-0.062126884210996415,-3045.7926560585133,0.009190514177188762
-1970499.2491108482,-0.05333573963734893,0.031963932333887925,-18286.64827553213,0.00919060164352359
-1970117.2347840352,0.01762272747153724,0.05963389868237801,-94695.14656336412,0.009191040178536999
-1967825.1488231567,-0.061951419209097115,-0.005567414257206324,-553262.8075893982,0.009193673608758344
-1954072.6330578863,-0.05387488229212339,0.03130215157263448,-3308885.054925239,0.00920955461504021
-1871557.5384662636,-0.05229461702420631,0.035082168892549115,-19997992.776473347,0.009307852445957632
-1751319.0158774527,-0.04660146462884882,0.04387747397513077,-44819628.20301282,0.009461167470437643
-1636239.7262277764,-0.03626584533245141,0.05404379351602934,-69181805.64387994,0.009620675501983629
-1528013.5669871164,0.04058434137117218,-0.05228321341292981,-92686206.06171413,0.009783950201681157
-1426358.4563059174,-0.06126479220253586,-0.02788788778150451,-115338614.10389386,0.009950962417382905
-1330915.0108458963,-0.06209267940350246,0.028847205130401524,-137164181.0339985,0.010121812115641364
-1241337.2307842027,-0.016978924945960962,0.06754464990779754,-158188434.46478432,0.010296609920711656
-1157296.310999957,0.05008185572072639,0.05011903832235436,-178436305.96138668,0.010475470745851477
-1078480.6334894719,-0.030781800668148826,0.06518507422145305,-197931956.7705023,0.010658512301225305
-1004593.9001225609,-0.07176812535129785,0.015157086319512167,-216699059.3721388,0.01084585759104295
-935355.0302966684,-0.011910276785349068,0.0736883015492747,-234760664.95401743,0.011037633931222745
-870497.6147189619,0.0680980639431111,-0.03367327696057373,-252139174.20780388,0.011233972588810865
-809768.9129808526,0.03398123148158209,-0.06945723817333382,-268856436.2903544,0.011435009883791
-752929.3473310372,0.0008420744926851847,0.07870772226099777,-284933727.8658868,0.011640887062964487
-699752.5381974748,0.06278269874259407,-0.049797004525227825,-300391574.14497304,0.011851747825887098
-650022.3336195394,-0.06768397058591409,0.04556041404978158,-315250456.10223395,0.012067748103995612
-603535.6794971856,-0.08277675148537389,-0.007105298485677989,-329529824.77063286,0.012289042730192445
-560099.8420812826,-0.08392464678080402,-0.010741493343835366,-343248757.8059292,0.012515794290588895
-519532.379355492,0.06348979682485292,0.058268336928616785,-356425832.6554785,0.012748171614667668
-481660.7720745849,-0.03470106555520704,-0.08062974229091097,-369079097.0021006,0.012986349337453977
-446321.81766257295,-0.010312728809099754,-0.0888282897294281,-381226121.8359025,0.013230508889577271
-413358.81573814864,0.03200670646612625,-0.0853045720521748,-392884861.6735999,0.01348085776012737
-382630.79712286755,-0.012273342048696855,0.09202580988188486,-404070222.4877433,0.013737554704853841
-353997.80841122195,0.09082441477527833,-0.026508880447331455,-414799123.8362598,0.014000818110737669
-327329.69141867914,0.02894707397935648,0.09198555400099204,-425087294.68863946,0.014270858876393523
-302503.53507476073,0.0666794160939222,0.07222513583544818,-434950041.6397027,0.014547896753456396
-279403.5577673014,-0.056713255507605004,0.08262114858115542,-444402159.08583987,0.014832157839513034
-257918.792108308,-0.0985707904463131,0.026908933109898347,-453458768.2221076,0.015123901815262337
-237949.67881280152,-0.049095261212994325,-0.09190253139383081,-462132386.4418598,0.01542332614624019
-219397.48275335025,-0.09726524997002403,-0.04279633415341305,-470437261.35315245,0.015730705398759037
-202170.58960491652,-0.10083339494827165,-0.03976029153933601,-478386627.9832953,0.01604630532842302
-186182.88391533826,-0.05639878854044598,-0.09510685029839912,-485993260.12011534,0.016370399361115458
-171353.48472597532,0.11006583074652407,-0.024746611140019536,-493269460.76655763,0.01670326707681878
-157605.59007860243,-0.08878091023589355,-0.0732783758746346,-500227514.49281573,0.017045215608351885
-144867.67782430173,-0.11627687738189087,-0.01678760764267602,-506878981.87573797,0.017396547370524727
-133072.23918236842,-0.11048720636779233,-0.046604551823376326,-513235209.46664745,0.017757583344643467
-122155.90468503893,-0.0984089976982925,-0.07280637468977783,-519307160.60349923,0.018128655043814394
-112060.04716423957,-0.12094875384109754,0.03149860572916694,-525104937.53671575,0.018510070963702958
-102726.80261849308,-0.027822529175010907,0.12455579740059093,-530639976.5885599,0.018902264139780526
-94104.62931302251,-0.09220463504646725,-0.09212822338009308,-535921749.9560882,0.019305575631149274
-86144.29030938738,-0.0736639377457151,-0.1109032577822423,-540959953.7086333,0.01972039572567318
-78799.38805132438,0.08014023089537765,-0.10989859998506762,-545764134.9580485,0.020147144955151536
-72027.19522693902,-0.04211804802365651,-0.13243975114130654,-550343036.7270676,0.020586214411535374
-65786.7290759794,-0.13063641908919021,0.055719219070765956,-554705771.060649,0.02103807275786134
