t_minus_t0_M,FastEMRIWaveforms_delta_h20_real_over_nu,FastEMRIWaveforms_delta_h20_imag_over_nu,effective_0PN_delta_h20_real_over_nu,effective_0PN_delta_h20_imag_over_nu,FastEMRIWaveforms_delta_h30_real_over_nu,FastEMRIWaveforms_delta_h30_imag_over_nu,effective_0PN_delta_h30_real_over_nu,effective_0PN_delta_h30_imag_over_nu,FastEMRIWaveforms_e0_0p8_delta_h20_real_over_nu,FastEMRIWaveforms_e0_0p8_delta_h20_imag_over_nu,FastEMRIWaveforms_e0_0p8_delta_h30_real_over_nu,FastEMRIWaveforms_e0_0p8_delta_h30_imag_over_nu,eccentric_effective_0PN_e0_0p8_delta_h20_real_over_nu,eccentric_effective_0PN_e0_0p8_delta_h20_imag_over_nu,eccentric_effective_0PN_e0_0p8_delta_h30_real_over_nu,eccentric_effective_0PN_e0_0p8_delta_h30_imag_over_nu
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
662055408.2822615,7.5780801586900554e-06,6.751800406120511e-28,7.63055865393949e-06,0.0,2.089163213271045e-34,6.59809592563023e-15,0.0,6.694118631785407e-15,5.081100114775913e-06,8.044058105287352e-26,7.397170992668917e-32,2.0966696181107044e-15,5.1307005047837469e-06,0,0,2.0599897717138352e-15
1135369116.932893,1.3015254296207425e-05,1.7625603388824345e-27,1.310545256142944e-05,0.0,6.399969787929303e-33,1.1337213779782953e-14,0.0,1.1505779404862342e-14,8.721848228080289e-06,1.1042445017745126e-25,5.168187104920257e-32,3.600480448283572e-15,8.8075254325673154e-06,0,0,3.5378836640316152e-15
1321918925.9317586,1.5162364383051178e-05,2.2111658950173484e-27,1.5267469668254237e-05,0.0,8.336400029049832e-33,1.3213812712261307e-14,0.0,1.3407720874653416e-14,1.0159629799610977e-05,4.6399201096067196e-26,4.209593740896687e-32,4.194835485686273e-15,1.0258716528847986e-05,0,0,4.1215643580782755e-15
1979597809.7209604,2.27529772293944e-05,3.8016624162248316e-27,2.2910738409645863e-05,0.0,9.154187701788625e-33,1.9877930557049906e-14,0.0,2.014086354038294e-14,1.5235550434109502e-05,-1.2024742967033818e-25,1.4397407196901473e-32,6.29467699395393e-15,1.5384023963034757e-05,0,0,6.1847111080311153e-15
2266975336.5079956,2.608006702479567e-05,4.468573525586151e-27,2.626087710744945e-05,0.0,9.032995667233623e-33,2.280073725391463e-14,0.0,2.3096654385685018e-14,1.7457715016699514e-05,-2.0067343928209282e-25,4.4909940544163865e-33,7.21456494823815e-15,1.7628051907015041e-05,0,0,7.0888622343121e-15
2635099292.3943214,3.0349990740568717e-05,5.2759860986616915e-27,3.0560370249641525e-05,0.0,8.810737916014912e-33,2.6552198001458455e-14,0.0,2.6893603607026218e-14,2.0308927838255834e-05,-3.6422089389061515e-25,-3.30808284663032e-33,8.395768840329099e-15,2.050659870790752e-05,0,0,8.2494173325101762e-15
3288430582.753361,3.795333263603086e-05,6.490838720179364e-27,3.82163705646654e-05,0.0,8.232644659452288e-33,3.323487157827961e-14,0.0,3.3665998219456716e-14,2.5380764860100993e-05,-6.803648456636869e-25,9.8127613105787e-33,1.0499221977774843e-14,2.5626416626896673e-05,0,0,1.031567029147382e-14
3394831129.911182,3.9195025825965735e-05,6.650719198275655e-27,3.946666874471226e-05,0.0,8.11741070284284e-33,3.4326735533588613e-14,0.0,3.477352524144347e-14,2.6207569670089755e-05,-7.272041604147803e-25,1.417258048980637e-32,1.0842196843529424e-14,2.6461569236334009e-05,0,0,1.0652972827165188e-14
3939598865.7303457,4.5562942897639675e-05,7.330683000749115e-27,4.587874473598306e-05,0.0,7.474899281503205e-33,3.9928431782688824e-14,0.0,4.045810468980671e-14,3.0449887429219606e-05,-8.45782358473288e-25,4.670510189653729e-32,1.2603614998327426e-14,3.0743453666613065e-05,0,0,1.2383457227136073e-14
4518948926.9920435,5.2360198488013325e-05,7.685264178486051e-27,5.272322577187107e-05,0.0,6.690682695868037e-33,4.5914139942379627e-14,0.0,4.6537303017824706e-14,3.497137966830694e-05,-8.54597204987791e-25,7.490121613202772e-32,1.4483882808228876e-14,3.5308066869919969e-05,0,0,1.4230252554197377e-14
4588611302.472972,5.317877831118374e-05,7.707840191364502e-27,5.354749814976769e-05,0.0,6.592493131567328e-33,4.663535910988927e-14,0.0,4.72699804980167e-14,3.551626046703103e-05,-8.509213710265037e-25,7.682245398676219e-32,1.47107317330576e-14,3.5857685853770891e-05,0,0,1.4452765363359874e-14
5235475030.417426,6.080081224589764e-05,7.562128780967593e-27,6.122263619704051e-05,0.0,5.640417559047759e-33,5.3358134055055165e-14,0.0,5.4101683292273045e-14,4.058024591488625e-05,-8.306992985956263e-25,9.445707239078231e-32,1.6818918041780557e-14,4.0969089292007301e-05,0,0,1.652358190500964e-14
5639341116.40451,6.557577630046949e-05,7.185569793585277e-27,6.603094970386116e-05,0.0,5.033500131658616e-33,5.757621857530902e-14,0.0,5.838890963526036e-14,4.374913069012076e-05,-8.528889060061222e-25,1.0489445747567618e-31,1.813835257729289e-14,4.4167534368919765e-05,0,0,1.7820738653181196e-14
5880197163.372525,6.84290344359327e-05,6.860506172631337e-27,6.890416427374358e-05,0.0,4.6736639133437474e-33,6.009923711339061e-14,0.0,6.095327088956103e-14,4.564230131333444e-05,-8.902601930192737e-25,1.106478639095113e-31,1.8927010884848617e-14,4.6077640158915209e-05,0,0,1.8595894037369769e-14
6522784791.593097,7.606345076351422e-05,5.5967133093941015e-27,7.659208778069211e-05,0.0,3.747223543857625e-33,6.686114878007691e-14,0.0,6.78248012761164e-14,5.0701491474216035e-05,-1.0594899496537552e-24,1.242877054973654e-31,2.103633596471576e-14,5.1183314703114514e-05,0,0,2.0669688925549303e-14
6756020045.747123,7.88424182986714e-05,4.998186024224873e-27,7.939056923113163e-05,0.0,3.4314895288551785e-33,6.932688984926774e-14,0.0,7.0329713073116e-14,5.2540754111882845e-05,-1.1458798581978464e-24,1.2854570747275513e-31,2.1803929034188034e-14,5.3039961367899186e-05,0,0,2.1424468478286858e-14
7163244981.859959,8.370408304397709e-05,3.79092223027487e-27,8.428641212359572e-05,0.0,2.9160877999915484e-33,7.364634955029598e-14,0.0,7.471633260794327e-14,5.575778403216422e-05,-1.3405838638703253e-24,1.3428563598505127e-31,2.314848653572098e-14,5.6286089241495524e-05,0,0,2.2744953713941252e-14
7801584777.559765,9.135096881258903e-05,1.4893865370907013e-27,9.198714271309804e-05,0.0,2.235248031145027e-33,8.045731991925193e-14,0.0,8.162792321134052e-14,6.0812031980186064e-05,-1.710142952676283e-24,1.391804843972926e-31,2.526588402348891e-14,6.1385940156578981e-05,0,0,2.4821675525699507e-14
7868998021.691607,9.21607663029276e-05,1.2145272973962945e-27,9.280264749453192e-05,0.0,2.176810248057371e-33,8.118015377881373e-14,0.0,8.23608709634829e-14,6.134625468031806e-05,-1.7510878352407967e-24,1.3951842190218574e-31,2.5489908416900765e-14,6.1925337527592872e-05,0,0,2.5041479487677152e-14
