t_over_M,linear_h20_real_over_nu_M_over_R,linear_h20_imag_over_nu_M_over_R,delta_hD20_real_over_nu_M_over_R,delta_hD20_imag_over_nu_M_over_R,delta_hS20_real_over_nu_M_over_R,delta_hS20_imag_over_nu_M_over_R,nonlinear_null_total_h20_real_over_nu_M_over_R,nonlinear_null_total_h20_imag_over_nu_M_over_R,total_h20_real_over_nu_M_over_R,total_h20_imag_over_nu_M_over_R,linear_h30_real_over_nu_M_over_R,linear_h30_imag_over_nu_M_over_R,delta_hD30_real_over_nu_M_over_R,delta_hD30_imag_over_nu_M_over_R,delta_hS30_real_over_nu_M_over_R,delta_hS30_imag_over_nu_M_over_R,nonlinear_null_total_h30_real_over_nu_M_over_R,nonlinear_null_total_h30_imag_over_nu_M_over_R,total_h30_real_over_nu_M_over_R,total_h30_imag_over_nu_M_over_R
-2000.0,-0.012090678589530703,-4.351505546955781e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.012090678589530703,-4.351505546955781e-05,0.0005950300637879653,1.2268847067301893e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0005950300637879653,1.2268847067301893e-09
-1999.5,-0.012093581661866058,-4.3530305139294866e-05,-6.165210996570847e-17,2.1590590700422493e-35,-3.4894769104385696e-33,2.1539766027403688e-16,-6.165210996570847e-17,2.1539766027403688e-16,-0.01209358166186612,-4.353030513907947e-05,0.0005951664604055218,-9.769938584276022e-10,2.7087398708565463e-18,2.0493027784834385e-36,4.049075115079725e-34,-3.137922017462745e-17,2.7087398708565467e-18,-3.137922017462745e-17,0.0005951664604055245,-9.769938898068224e-10
-1999.0,-0.01209648253548728,-4.3546252598654876e-05,-1.2314780019464555e-16,2.573345425213675e-35,4.2137613846242774e-33,5.257925661936945e-16,-1.2314780019464555e-16,5.257925661936945e-16,-0.012096482535487403,-4.3546252598129086e-05,0.0005953013547457068,-2.9782837480951674e-09,5.3843255133563455e-18,4.502122204751046e-36,3.529536253281824e-33,-6.408980766227173e-17,5.3843255133563494e-18,-6.408980766227173e-17,0.0005953013547457122,-2.9782838121849752e-09
-1998.5,-0.012099378548780983,-4.3563060696956944e-05,-1.8439449081965432e-16,2.2343666251885084e-35,-2.165669703864559e-33,8.840195189791012e-16,-1.8439449081965432e-16,8.840195189791012e-16,-0.012099378548781167,-4.3563060696072926e-05,0.0005954348618092737,-4.75171524946371e-09,8.029718063310878e-18,5.811754566934367e-36,2.8215335908459657e-32,-1.0029491499115285e-16,8.029718063310906e-18,-1.0029491499115285e-16,0.0005954348618092818,-4.751715349758625e-09
-1998.0,-0.012102267755756364,-4.358077544193168e-05,-2.4534105840443885e-16,2.6855987821855884e-35,4.3211704976227537e-33,1.2379746983707642e-15,-2.4534105840443885e-16,1.2379746983707642e-15,-0.012102267755756608,-4.3580775440693705e-05,0.0005955672859276465,-6.203932942079691e-09,1.0651500026242528e-17,4.974835502990721e-36,7.189111296408675e-33,-1.4359193600542559e-16,1.0651500026242536e-17,-1.4359193600542559e-16,0.0005955672859276572,-6.203933085671627e-09
-1997.5,-0.012105149110897937,-4.3599302900392337e-05,-3.0597826702574507e-16,1.150114328749331e-35,7.702641256780086e-33,1.529334831423195e-15,-3.0597826702574507e-16,1.529334831423195e-15,-0.012105149110898243,-4.3599302898863e-05,0.0005956991071950066,-7.16631717563674e-09,1.3259003145160785e-17,4.912381488131533e-36,4.803484985455538e-32,-1.9989315859709958e-16,1.3259003145160833e-17,-1.9989315859709958e-16,0.0005956991071950198,-7.166317375529899e-09
-1997.0,-0.01210802255801911,-4.36184003935634e-05,-3.663357106898374e-16,-1.5260045643128823e-35,-1.59605666351259e-33,1.7025101325616476e-15,-3.663357106898374e-16,1.7025101325616476e-15,-0.012108022558019476,-4.361840039186089e-05,0.0005958309453178484,-7.411835964692571e-09,1.5863292054364222e-17,6.138236367931749e-36,3.532267221942965e-32,-2.751490331956643e-16,1.5863292054364256e-17,-2.751490331956643e-16,0.0005958309453178642,-7.411836239841604e-09
-1996.5,-0.012110889012229675,-4.3637683538036084e-05,-4.2647446745510414e-16,-8.917440257161359e-36,-4.5482761566648965e-34,1.7120075492123796e-15,-4.2647446745510414e-16,1.7120075492123796e-15,-0.012110889012230102,-4.3637683536324075e-05,0.0005959635027525252,-6.694936665761677e-09,1.8476406847889498e-17,6.839997091417848e-36,2.554491848477009e-32,-3.7253814577952185e-16,1.8476406847889522e-17,-3.7253814577952185e-16,0.0005959635027525436,-6.6949370382998226e-09
-1996.0,-0.012113750236858695,-4.3656649595088214e-05,-4.864772993877747e-16,1.8933107861999347e-35,4.348287591239726e-33,1.5285084791108894e-15,-4.864772993877747e-16,1.5285084791108894e-15,-0.012113750236859181,-4.3656649593559705e-05,0.0005960974920287491,-4.8081364520803464e-09,2.1110770243572908e-17,5.738413123397863e-36,1.4191484425409563e-32,-4.896633934787695e-16,2.1110770243572923e-17,-4.896633934787695e-16,0.0005960974920287702,-4.80813694174374e-09
-1995.5,-0.012116608628329889,-4.367471645026332e-05,-5.464378746077471e-16,2.1623293516183835e-35,-1.5373543188076672e-33,1.143011610502828e-15,-5.464378746077471e-16,1.143011610502828e-15,-0.012116608628330435,-4.367471644912031e-05,0.0005962335546571753,-1.6445185531811617e-09,2.3778555755212887e-17,5.416007936809132e-36,2.700677634975778e-32,-6.167218075458297e-16,2.3778555755212915e-17,-6.167218075458297e-16,0.000596233554657199,-1.6445191699029693e-09
