t_minus_t0_M,qnm_delta_hD20_real_over_abs_A220_squared_M_over_R,qnm_delta_hD20_imag_over_abs_A220_squared_M_over_R,qnm_delta_hS20_real_over_abs_A220_squared_M_over_R,qnm_delta_hS20_imag_over_abs_A220_squared_M_over_R,qnm_delta_hD30_real_over_abs_A220_squared_M_over_R,qnm_delta_hD30_imag_over_abs_A220_squared_M_over_R,qnm_delta_hS30_real_over_abs_A220_squared_M_over_R,qnm_delta_hS30_imag_over_abs_A220_squared_M_over_R,analytic_delta_hD20_real_over_abs_A220_squared_M_over_R,analytic_delta_hD20_imag_over_abs_A220_squared_M_over_R,analytic_delta_hS20_real_over_abs_A220_squared_M_over_R,analytic_delta_hS20_imag_over_abs_A220_squared_M_over_R,analytic_delta_hD30_real_over_abs_A220_squared_M_over_R,analytic_delta_hD30_imag_over_abs_A220_squared_M_over_R,analytic_delta_hS30_real_over_abs_A220_squared_M_over_R,analytic_delta_hS30_imag_over_abs_A220_squared_M_over_R
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0390625,0.0005017220955059226,8.190578670175971e-21,1.806943011962974e-20,-0.0004196379038920948,8.762423931248611e-05,1.5632051015029791e-22,-2.0014757508649474e-20,-7.242840965605145e-05,0.0005017204297689804,1.3475418802241843e-20,-2.3391396011832602e-23,-0.0004196379038920731,8.762394839659116e-05,7.854999400658409e-24,-1.6118119127985737e-22,-7.242840965605145e-05
0.078125,0.0010002873231016365,1.077194004270883e-20,1.177276865890003e-21,-0.0008366354189222866,0.00017469714123776164,9.328012588361497e-22,-3.5890813411056744e-20,-0.00014440109506897854,0.0010002840021086762,2.6866049396879378e-20,-4.66356118454233e-23,-0.0008366354189223408,0.00017469656123643334,1.5660574636495764e-23,-3.213482200680891e-22,-0.00014440109506898396
0.1171875,0.0014957155460044317,9.716692936274665e-21,1.1305269762629896e-20,-0.0012510091585884139,0.0002612221748263646,1.7263613448466266e-21,-3.9391564567894524e-20,-0.00021592092368524573,0.0014957105801704322,4.017242527680469e-20,-6.973357356798167e-23,-0.0012510091585884355,0.0002612213075585473,2.3417036687557216e-23,-4.805074675407628e-22,-0.0002159209236852403
0.15625,0.0019880265024509493,1.1063332513899031e-20,3.4375448715937787e-20,-0.0016627756318548439,0.0003472027873013425,2.1856547394139892e-21,-1.0243088314670918e-20,-0.00028699074490910645,0.0019880199021253568,5.3395076578138026e-20,-9.268620141984585e-23,-0.0016627756318548764,0.0003472016345745356,3.112469457718133e-23,-6.386652747231637e-22,-0.00028699074490910916
0.1953125,0.0024772398064835683,1.694678499773322e-20,-3.0396809732227565e-20,-0.0020719512438106364,0.0004326424041955923,2.4033650708864946e-21,-3.526071146543434e-20,-0.0003576133902162355,0.0024772315819507093,6.653453010134884e-20,-1.154944098511386e-22,-0.0020719512438106473,0.0004326409678059221,3.8783855384311815e-23,-7.9582794274243695e-22,-0.0003576133902162396
0.234375,0.0029633749487318426,1.7194458336846717e-20,2.5624263513314205e-20,-0.0024785522963228315,0.000517544429488336,2.8544840766648803e-21,-2.943243266773798e-20,-0.000427791673266451,0.0029633651102113343,7.959130933224394e-20,-1.381591075582058e-22,-0.002478552296322864,0.0005175427112206277,4.63948242557318e-23,-9.520017330786354e-22,-0.0004277916732664537
0.2734375,0.0034464512971890218,1.998122246680358e-20,-3.891367461534409e-20,-0.0028825949886861772,0.0006019122457407382,2.797120366216723e-21,-4.071443056915238e-20,-0.0004975283900158425,0.0034464398548361796,9.256593446282356e-20,-1.6068119751981593e-22,-0.0028825949886862423,0.0006019102473685865,5.395790441822108e-23,-1.1071928678141595e-21,-0.0004975283900158412
0.3125,0.00392648809798369,2.3588016362034617e-20,-4.25147121419421e-20,-0.0032840954182684593,0.0006857492142306692,2.828478638047823e-21,-2.135596043098593e-20,-0.0005668263188281539,0.00392647506188993,1.0545892241200612e-19,-1.8306157703313764e-22,-0.003284095418268492,0.0006857469375165095,6.147339719063693e-23,-1.2614075298816878e-21,-0.0005668263188281593
0.3515625,0.004403504476146542,1.828970533973402e-20,3.6136972638448534e-20,-0.00368306958115161,0.0007690586750866218,4.024034597382037e-21,-4.474957041954205e-20,-0.0006356882205855125,0.004403489856339786,1.1827078684622285e-19,-2.0530113774948558e-22,-0.0036830695811516318,0.0007690561217818001,6.894160199591888e-23,-1.4146518633104574e-21,-0.0006356882205855179
0.390625,0.004877519436372343,2.1140981325035403e-20,2.948298049235482e-20,-0.0040795333727692545,0.0008518439474207836,5.1318033139660876e-21,-3.771984051802677e-20,-0.0007041168387983734,0.0048775032428174155,1.310020381998824e-19,-2.2740076570984957e-22,-0.004079533372769298,0.0008518411192656263,7.636281637301786e-23,-1.5669319734710953e-21,-0.0007041168387983788
0.4296875,0.005348551863777087,2.6059241672622894e-20,-2.0562895012567244e-20,-0.004473502588540021,0.0009341083294612738,5.4304454262317144e-21,-2.3155835152545692e-20,-0.0007721148997148524,0.005348534106376113,1.436531836957071e-19,-2.493613413801893e-22,-0.004473502588540054,0.0009341052281851566,8.373733598875055e-23,-1.7182539273188342e-21,-0.0007721148997148578
0.46875,0.005816620524650396,2.0400900004025264e-20,2.618162555252744e-20,-0.004864992924496579,0.0010158550986835465,4.916121723556199e-21,-2.581638804596278e-20,-0.0008396851124293389,0.005816601213243197,1.562247273649412e-19,-2.7118373968651684e-22,-0.004864992924496612,0.0010158517260049648,9.106545464957884e-23,-1.8686237536352348e-21,-0.0008396851124293403
