t_minus_t0_M,NRHybSur3dq8_CCE_delta_h20_real_over_nu,NRHybSur3dq8_CCE_delta_h20_imag_over_nu,NRHybSur3dq8_CCE_perturbative_delta_h20_real_over_nu,NRHybSur3dq8_CCE_perturbative_delta_h20_imag_over_nu,SEOBNRv5EHM_delta_h20_real_over_nu,SEOBNRv5EHM_delta_h20_imag_over_nu,NRHybSur3dq8_CCE_delta_h30_real_over_nu,NRHybSur3dq8_CCE_delta_h30_imag_over_nu,SEOBNRv5EHM_delta_h30_real_over_nu,SEOBNRv5EHM_delta_h30_imag_over_nu
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
880.0,1.6858744725976003e-06,0.0,1.6848729391561136e-06,1.4472044260020185e-30,1.6846537216666174e-06,-9.152688825984786e-33,0.0,9.34734714792525e-11,-4.4373425918681914e-30,8.954299534201632e-11
884.0,1.693547226184382e-06,0.0,1.6925338741857371e-06,1.4750381267961469e-30,1.6923136137767644e-06,-9.518132531528471e-33,0.0,9.389817211415471e-11,-1.7749370367472766e-30,8.995017082052906e-11
1768.0,3.390003793550013e-06,0.0,3.386118938640239e-06,7.283354737425064e-31,3.3856774560146164e-06,-5.312095362807673e-31,0.0,1.877811599783396e-10,-6.212279628615468e-30,1.7998952350330537e-10
1780.0,3.413037312045668e-06,0.0,3.409115945291933e-06,1.0174146243801933e-30,3.40867152685497e-06,-6.574831656386362e-31,0.0,1.8905651641405497e-10,-9.318419442923202e-30,1.8121264439999972e-10
2652.0,5.0868018300162954e-06,0.0,5.0807545357672455e-06,9.267389778386347e-31,5.080093012307609e-06,-7.946877777785183e-31,0.0,2.8186664319635953e-10,2.662405555120915e-30,2.701547558137039e-10
2680.0,5.140539869099344e-06,0.0,5.1344478785371465e-06,9.531986883429455e-31,5.133779485016646e-06,-7.858944522917396e-31,0.0,2.8485025644496283e-10,2.662405555120915e-30,2.7301243699177095e-10
3536.0,6.782995550865109e-06,0.0,6.7764415001937455e-06,-1.4693318943834268e-30,6.775561783325814e-06,-5.686128799334419e-31,0.0,3.7610082496826204e-10,-2.2186712959340957e-30,3.6040619729375127e-10
3580.0,6.867405481529023e-06,0.0,6.860869681149472e-06,-2.07924661160711e-30,6.859979165100452e-06,-6.585756401327334e-31,0.0,3.807922018455278e-10,-8.874685183736383e-30,3.648994507113808e-10
4420.0,8.47854772981541e-06,0.0,8.473182632470269e-06,-5.6845289640147876e-30,8.472084640940254e-06,-8.32253837212304e-31,0.0,4.703607592432456e-10,3.106139814307734e-30,4.5069997100825146e-10
