t_minus_t0_M,NRHybSur3dq8_CCE_energy_radiated_over_M,SEOBNRv5EHM_energy_radiated_over_M,NRHybSur3dq8_CCE_angular_momentum_z_radiated_over_M2,SEOBNRv5EHM_angular_momentum_z_radiated_over_M2,NRHybSur3dq8_CCE_planar_momentum_over_M,SEOBNRv5EHM_planar_momentum_over_M
0.0,0.0,0.0,0.0,0.0,0.0,0.0
880.0,2.0210766138078836e-07,2.0207487711352837e-07,0.00011000330309003569,0.00010998518416080763,5.044908630502713e-09,5.04340815489955e-09
884.0,2.0302662295174934e-07,2.029936840794781e-07,0.00011050342839455744,0.00011048522499119947,5.062448608652004e-09,5.061079961313428e-09
1768.0,4.061792941606102e-07,4.061132956483849e-07,0.00022105473641946291,0.00022101827822815115,6.9673852336542006e-09,6.9655857804829245e-09
1780.0,4.089378817806433e-07,4.088714425175491e-07,0.00022255575928276967,0.00022251905619435265,6.96315145782418e-09,6.961070764129866e-09
2652.0,6.094579346055758e-07,6.093590127870992e-07,0.0003316539036472967,0.00033159921832411055,4.522104130713801e-09,4.520915608473398e-09
2680.0,6.158986752933447e-07,6.157987225015682e-07,0.00033515782367978404,0.00033510256517289,4.384035133218486e-09,4.3827032914933176e-09
3536.0,8.128626447390781e-07,8.127310153827188e-07,0.00044230094962888385,0.00044222810457025916,7.500783087767635e-10,7.499164161836738e-10
3580.0,8.229901552975865e-07,8.228569051375721e-07,0.00044780951918751527,0.00044773577298697824,1.0301433201509805e-09,1.0298789723343992e-09
4420.0,1.016393760553016e-06,1.0162294079522316e-06,0.0005529959728450751,0.0005529049679779902,5.557009147649016e-09,5.55538253261975e-09
4460.0,1.025606308947752e-06,1.0254404703476708e-06,0.0005580059340561267,0.0005579141058095665,5.708789973625069e-09,5.707116574243892e-09
5304.0,1.2200516275594616e-06,1.2198542973905168e-06,0.0006637390871502706,0.0006636298393822013,6.892501311862032e-09,6.890615475344606e-09
5360.0,1.2329572984114128e-06,1.2327578758588893e-06,0.0006707561071659185,0.0006706457027897085,6.825530015157712e-09,6.823474226988577e-09
6188.0,1.4238363674566737e-06,1.4236058550795938e-06,0.0007745303380228203,0.0007744027757220284,3.918113492100568e-09,3.917036530201863e-09
6260.0,1.4404397987882113e-06,1.4402065890711009e-06,0.0007835561766457057,0.0007834271246050032,3.526993598198335e-09,3.525871248510019e-09
7073.0,1.6279786977333936e-06,1.6277149661720053e-06,0.0008854951294679463,0.0008853492262290749,1.5158624167110912e-09,1.5155528192955976e-09
7160.0,1.6480537820423809e-06,1.6477867977495718e-06,0.0008964061337873579,0.0008962584316915446,2.0564928424071204e-09,2.0559634477701893e-09
7957.0,1.832017284340401e-06,1.831720478975329e-06,0.0009963826939815548,0.000996218498464856,5.999261253646927e-09,5.997650666713887e-09
8060.0,1.8557992646552947e-06,1.8554986144140324e-06,0.0010093059824463687,0.0010091396581911908,6.312061073282764e-09,6.310220571207959e-09
8841.0,2.0361828794095094e-06,2.0358530584550837e-06,0.0011073184366161624,0.001107135959894995,6.729476524889323e-09,6.727493724348215e-09
