t_minus_t0_M,SuperRad_delta_h20_real_over_M_over_R,quadrupolar_model_delta_h20_over_M_over_R,SuperRad_delta_h30_imag_over_M_over_R,quadrupolar_model_delta_h30_imag_over_M_over_R
0.0,0.0,nan,0.0,nan
2326494.406108126,3.453724616343113e-154,nan,3.2729547108975937e-160,nan
4652988.812216237,1.7517064382917147e-149,nan,1.660021154186507e-155,nan
6979483.218324363,8.884364951274124e-145,nan,8.419352374485228e-151,nan
9305977.624432474,4.506002765722139e-140,nan,4.2701560880363485e-146,nan
11632472.0305406,2.285369977038579e-135,nan,2.1657524480686237e-141,nan
13958966.436648726,1.1591018034167898e-130,nan,1.0984337737575403e-136,nan
16285460.842756838,5.8787723833883716e-126,nan,5.571074184434664e-132,nan
18611955.248864956,2.981615992125674e-121,nan,2.8255565615307604e-127,nan
20938449.654973075,1.5122262514568648e-116,nan,1.4330754928225208e-122,nan
23264944.0610812,7.669761101479107e-112,nan,7.268321562163185e-118,nan
25591438.467189312,3.889975808652186e-107,nan,3.68637232271387e-113,nan
27917932.873297438,1.9729313066844806e-102,nan,1.869666990576299e-108,nan
30244427.279405557,1.0006380842364367e-97,nan,9.482641333085058e-104,nan
32570921.685513675,5.075070643523924e-93,nan,4.809438638279456e-99,nan
34897416.0916218,2.5739917800963135e-88,nan,2.4392676262754643e-94,nan
37223910.49772991,1.305486001945092e-83,nan,1.2371561423484095e-89,nan
39550404.90383803,6.621208795044695e-79,nan,6.27465106355492e-85,nan
41876899.30994615,3.3581674443278316e-74,nan,3.1823991023990794e-80,nan
44203393.716054276,1.703206911792817e-69,nan,1.614060119737202e-75,nan
46529888.12216239,8.638383381622241e-65,nan,8.186245616277279e-71,nan
48856382.52827051,4.3812449873952443e-60,nan,4.1519282008488e-66,nan
51182876.934378624,2.2220948980352508e-55,nan,2.1057892217070228e-61,nan
53509371.34048675,1.1270097312704827e-50,nan,1.0680214184221826e-56,nan
55835865.746594876,5.716006708360726e-46,nan,5.416827754887387e-52,nan
58162360.15270299,2.899063937379793e-41,nan,2.7473253270018753e-47,nan
60488854.55881111,1.470357216467771e-36,nan,1.3933979062886292e-42,nan
62815348.964919224,7.457408290114303e-32,nan,7.067083414428586e-38,nan
65141843.37102735,3.78227397958891e-27,nan,3.5843076669693584e-33,nan
67468337.77713546,1.9183067226760934e-22,nan,1.8179014875162585e-28,nan
69794832.18324359,9.729334000087969e-18,nan,9.220095275337295e-24,nan
72121326.5893517,4.933901638850234e-13,nan,4.675657964548069e-19,nan
74447820.99545982,2.4239596351147998e-08,nan,2.2970420823702568e-14,nan
74481505.58588967,2.5000024081720716e-08,nan,2.6802093740474126e-14,nan
74515190.17631951,2.588720019431259e-08,nan,3.12664309988295e-14,nan
74548874.76674935,2.6922027336126777e-08,nan,3.646621264077437e-14,nan
74582559.3571792,2.812879728983478e-08,nan,4.252047636177159e-14,nan
74616243.94760904,2.9535725521416938e-08,nan,4.956698659869361e-14,nan
74649928.53803888,3.117556627149515e-08,nan,5.776503634938169e-14,nan
74683613.12846872,3.308631916755613e-08,nan,6.729863453236796e-14,nan
74717297.71889856,3.531204000696819e-08,nan,7.838013549730331e-14,nan
74750982.3093284,3.7903769349473236e-08,nan,9.125431872909652e-14,nan
74784666.89975825,4.092059420584907e-08,nan,1.0620301849087076e-13,nan
74818351.4901881,4.4430859731700075e-08,nan,1.2355030974723417e-13,nan
74852036.08061795,4.851354882730921e-08,nan,1.4366831154781762e-13,nan
74885720.67104779,5.3259850073815256e-08,nan,1.6698370677195307e-13,nan
74919405.26147763,5.877493487114951e-08,nan,1.9398490247435273e-13,nan
74953089.85190748,6.517996563057579e-08,nan,2.2522997347705508e-13,nan
74986774.44233732,7.261435557473304e-08,nan,2.6135519747241233e-13,nan
75020459.03276716,8.123830860409047e-08,nan,3.0308486518192613e-13,nan
75054143.623197,9.123566613070325e-08,nan,3.5124155120663256e-13,nan
75087828.21362685,1.0281708106552854e-07,nan,4.067572138625383e-13,nan
75121512.80405669,1.1622354168519714e-07,nan,4.706849550357135e-13,nan
75155197.39448653,1.3173026458755074e-07,nan,5.442114082554658e-13,nan
75188881.98491637,1.4965096509966065e-07,nan,6.286689889773867e-13,nan
75222566.57534622,1.7034252230007663e-07,nan,7.255495980938042e-13,nan
75256251.16577606,1.942100595036057e-07,nan,8.365181440428676e-13,nan
75289935.7562059,2.2171242945319396e-07,nan,9.63425206908297e-13,nan
75323620.34663574,2.5336807542961157e-07,nan,1.108318989323115e-12,nan
75357304.93706559,2.897612406889328e-07,nan,1.2734562465777817e-12,nan
75390989.52749543,3.315484852347574e-07,nan,1.4613113472178698e-12,nan
